time,x_pixel,y_pixel
2020/09/14 17:00:05,451.2,200.1
2020/09/14 17:00:06,358.0,205.7
2020/09/14 17:00:07,370.6,267.8
2020/09/14 17:00:08,375.2,275.5
2020/09/14 17:00:08,383.5,260.2
2020/09/14 17:00:09,413.1,243.7
2020/09/14 17:00:10,440.7,247.3
2020/09/14 17:00:11,464.1,254.8
2020/09/14 17:00:12,474.2,280.2
2020/09/14 17:00:12,502.0,319.5
2020/09/14 17:00:13,705.3,301.9
2020/09/14 17:00:14,851.7,211.0
2020/09/14 17:00:15,524.7,349.2
2020/09/14 17:00:16,550.7,356.8
2020/09/14 17:00:16,565.3,368.1
2020/09/14 17:00:17,557.5,351.8
2020/09/14 17:00:18,583.6,364.4
2020/09/14 17:00:18,601.6,347.3
2020/09/14 17:00:19,630.3,340.1
2020/09/14 17:00:20,634.4,325.9
2020/09/14 17:00:20,673.3,320.7
2020/09/14 17:00:21,694.9,323.4
2020/09/14 17:00:22,700.9,305.8
2020/09/14 17:00:23,724.9,317.6
2020/09/14 17:00:24,723.1,307.2
2020/09/14 17:00:25,767.6,308.2
2020/09/14 17:00:26,803.5,314.4
2020/09/14 17:00:27,897.6,289.2
2020/09/14 17:00:28,800.4,320.9
2020/09/14 17:00:29,843.0,335.9
2020/09/14 17:00:30,894.7,345.5
2020/09/14 17:00:31,956.0,353.0
2020/09/14 17:00:31,1054.2,354.7
2020/09/14 17:00:33,1104.8,347.4
2020/09/14 17:00:33,1157.6,285.5
2020/09/14 17:00:34,1161.1,239.4
2020/09/14 17:00:35,1160.5,157.0
2020/09/14 17:00:36,1148.5,97.8
2020/09/14 17:00:37,1105.1,57.2
2020/09/14 17:00:38,1013.4,42.7
2020/09/14 17:00:39,923.5,53.1
2020/09/14 17:00:39,884.8,47.6
2020/09/14 17:00:40,806.2,53.4
2020/09/14 17:00:41,707.1,63.7
2020/09/14 17:00:42,652.7,81.5
2020/09/14 17:00:42,612.2,92.6
2020/09/14 17:00:43,583.0,106.2
2020/09/14 17:00:44,542.1,109.1
2020/09/14 17:00:44,526.4,103.1
2020/09/14 17:00:45,501.7,102.7
2020/09/14 17:00:46,472.7,101.5
2020/09/14 17:00:47,435.0,117.2
2020/09/14 17:00:47,411.3,133.9
2020/09/14 17:00:48,518.8,173.0
2020/09/14 17:00:49,389.1,168.4
2020/09/14 17:00:51,657.3,131.3
2020/09/14 17:00:51,501.7,207.2
2020/09/14 17:00:52,369.3,245.5
2020/09/14 17:00:53,362.5,262.0
2020/09/14 17:00:54,999.5,229.8
2020/09/14 17:00:55,867.5,256.2
2020/09/14 17:00:56,516.6,334.2
2020/09/14 17:00:56,769.1,279.3
2020/09/14 17:00:57,464.7,358.2
2020/09/14 17:00:58,506.1,351.7
2020/09/14 17:00:59,544.7,348.8
2020/09/14 17:00:59,588.3,332.6
2020/09/14 17:01:00,627.4,328.1
2020/09/14 17:01:01,656.0,320.8
2020/09/14 17:01:02,697.2,330.3
2020/09/14 17:01:03,725.5,326.3
2020/09/14 17:01:03,785.7,326.4
2020/09/14 17:01:04,839.2,334.3
2020/09/14 17:01:05,904.2,331.1
2020/09/14 17:01:06,957.4,323.6
2020/09/14 17:01:07,1025.3,336.8
2020/09/14 17:01:08,1049.0,351.3
2020/09/14 17:01:09,1121.9,344.6
2020/09/14 17:01:10,1158.9,302.4
2020/09/14 17:01:11,1161.2,228.4
2020/09/14 17:01:12,1165.7,120.4
2020/09/14 17:01:13,1154.3,96.3
2020/09/14 17:01:14,1122.7,75.0
2020/09/14 17:01:14,1083.5,39.1
2020/09/14 17:01:15,951.0,47.5
2020/09/14 17:01:16,884.3,52.6
2020/09/14 17:01:17,796.5,53.5
2020/09/14 17:01:17,707.1,63.7
2020/09/14 17:01:18,649.7,78.4
2020/09/14 17:01:19,606.5,89.1
2020/09/14 17:01:20,540.1,79.2
2020/09/14 17:01:21,500.8,76.4
2020/09/14 17:01:22,457.2,72.0
2020/09/14 17:01:23,399.4,61.5
2020/09/14 17:01:24,329.1,46.4
2020/09/14 17:01:25,266.2,40.4
2020/09/14 17:01:27,206.0,45.8
2020/09/14 17:01:35,307.8,166.4
2020/09/14 17:01:37,812.5,216.2
2020/09/14 17:01:38,352.0,370.4
2020/09/14 17:01:39,398.8,372.3
2020/09/14 17:01:40,452.7,359.0
2020/09/14 17:01:41,526.3,351.9
2020/09/14 17:01:42,560.1,341.9
2020/09/14 17:01:43,609.8,334.0
2020/09/14 17:01:43,656.6,327.9
2020/09/14 17:01:44,696.5,321.7
2020/09/14 17:01:45,739.3,320.0
2020/09/14 17:01:46,758.3,328.2
2020/09/14 17:01:46,820.5,332.4
2020/09/14 17:01:47,854.1,345.2
2020/09/14 17:01:48,914.6,361.6
2020/09/14 17:01:50,901.9,361.7
2020/09/14 17:01:50,889.8,355.2
2020/09/14 17:01:52,859.2,366.7
2020/09/14 17:01:53,792.5,359.7
2020/09/14 17:01:54,794.5,350.2
2020/09/14 17:01:55,760.2,354.1
2020/09/14 17:01:56,711.5,353.6
2020/09/14 17:01:57,693.4,345.5
2020/09/14 17:01:57,665.9,343.7
2020/09/14 17:01:59,632.7,343.1
2020/09/14 17:01:59,566.8,337.2
2020/09/14 17:02:00,534.2,343.8
2020/09/14 17:02:02,518.2,343.5
2020/09/14 17:02:03,482.5,355.4
2020/09/14 17:02:03,439.9,366.9
2020/09/14 17:02:04,409.1,375.9
2020/09/14 17:02:05,366.0,365.8
2020/09/14 17:02:07,823.5,221.1
2020/09/14 17:02:08,793.7,202.4
2020/09/14 17:02:12,997.7,230.9
2020/09/14 17:02:15,994.3,226.8
2020/09/14 17:02:18,720.5,288.1
2020/09/14 17:02:19,449.0,294.5
2020/09/14 17:02:19,371.1,363.0
2020/09/14 17:02:20,408.6,356.9
2020/09/14 17:02:21,449.6,345.7
2020/09/14 17:02:22,500.8,337.1
2020/09/14 17:02:23,532.7,337.2
2020/09/14 17:02:24,544.6,324.0
2020/09/14 17:02:24,573.2,329.8
2020/09/14 17:02:25,616.1,317.3
2020/09/14 17:02:26,661.1,316.3
2020/09/14 17:02:27,700.7,318.2
2020/09/14 17:02:28,718.2,321.6
2020/09/14 17:02:29,725.3,291.5
2020/09/14 17:02:31,720.8,280.2
2020/09/14 17:02:31,736.2,268.1
2020/09/14 17:02:32,726.5,242.0
2020/09/14 17:02:33,733.4,216.5
2020/09/14 17:02:35,734.2,199.0
2020/09/14 17:02:36,736.9,194.0
2020/09/14 17:02:37,805.3,170.7
2020/09/14 17:02:38,704.9,219.4
2020/09/14 17:02:39,704.1,190.1
2020/09/14 17:02:40,695.6,157.8
2020/09/14 17:02:40,703.7,102.5
2020/09/14 17:02:41,712.5,57.4
2020/09/14 17:02:42,726.6,86.2
2020/09/14 17:02:43,734.1,122.3
2020/09/14 17:02:43,739.7,105.9
2020/09/14 17:02:44,735.7,43.1
2020/09/14 17:02:46,729.2,73.5
2020/09/14 17:02:47,737.4,92.4
2020/09/14 17:02:47,769.4,81.7
2020/09/14 17:02:49,773.7,71.2
2020/09/14 17:02:49,783.3,59.0
2020/09/14 17:02:50,817.9,62.6
2020/09/14 17:02:51,850.7,75.9
2020/09/14 17:02:51,835.9,73.9
2020/09/14 17:02:53,832.5,79.2
2020/09/14 17:02:53,841.5,81.0
2020/09/14 17:02:54,858.0,91.3
2020/09/14 17:02:54,850.2,107.4
2020/09/14 17:02:55,839.7,111.4
2020/09/14 17:02:56,841.0,118.9
2020/09/14 17:02:57,840.7,121.7
2020/09/14 17:02:57,836.4,139.7
2020/09/14 17:02:58,821.4,155.2
2020/09/14 17:02:59,802.3,196.0
2020/09/14 17:03:00,795.8,249.0
2020/09/14 17:03:01,829.1,332.3
2020/09/14 17:03:02,830.5,334.6
2020/09/14 17:03:03,809.8,324.4
2020/09/14 17:03:04,793.8,332.5
2020/09/14 17:03:05,777.1,372.9
2020/09/14 17:03:05,785.8,332.7
2020/09/14 17:03:06,815.3,368.3
2020/09/14 17:03:07,814.3,347.3
2020/09/14 17:03:07,845.2,355.5
2020/09/14 17:03:08,803.7,334.1
2020/09/14 17:03:08,864.4,352.7
2020/09/14 17:03:09,905.8,360.9
2020/09/14 17:03:10,940.7,355.6
2020/09/14 17:03:11,975.8,342.5
2020/09/14 17:03:12,984.8,318.8
2020/09/14 17:03:13,1002.1,307.5
2020/09/14 17:03:14,1023.7,297.3
2020/09/14 17:03:15,1034.4,293.6
2020/09/14 17:03:16,1006.4,295.1
2020/09/14 17:03:17,981.5,284.6
2020/09/14 17:03:18,943.0,265.7
2020/09/14 17:03:19,922.6,263.5
2020/09/14 17:03:20,862.9,276.4
2020/09/14 17:03:21,792.7,285.3
2020/09/14 17:03:22,734.6,285.7
2020/09/14 17:03:23,697.9,274.9
2020/09/14 17:03:24,671.0,276.9
2020/09/14 17:03:25,625.5,271.4
2020/09/14 17:03:25,598.4,293.4
2020/09/14 17:03:26,605.5,299.4
2020/09/14 17:03:27,592.8,344.7
2020/09/14 17:03:28,606.6,376.6
2020/09/14 17:03:29,612.2,355.2
2020/09/14 17:03:30,634.4,336.6
2020/09/14 17:03:31,649.6,335.9
2020/09/14 17:03:32,679.7,338.0
2020/09/14 17:03:33,693.3,335.3
2020/09/14 17:03:34,753.0,350.9
2020/09/14 17:03:34,765.9,343.9
2020/09/14 17:03:35,795.0,352.3
2020/09/14 17:03:36,790.4,344.4
2020/09/14 17:03:37,860.1,353.8
2020/09/14 17:03:38,925.0,360.3
2020/09/14 17:03:39,946.0,357.6
2020/09/14 17:03:39,1023.3,351.2
2020/09/14 17:03:40,1068.0,360.5
2020/09/14 17:03:40,1077.0,345.9
2020/09/14 17:03:41,1157.1,316.9
2020/09/14 17:03:42,1160.7,290.1
2020/09/14 17:03:43,1161.8,270.9
2020/09/14 17:03:44,1162.2,176.4
2020/09/14 17:03:44,1156.5,122.3
2020/09/14 17:03:45,1123.6,77.5
2020/09/14 17:03:46,1093.6,50.4
2020/09/14 17:03:47,1016.9,44.3
2020/09/14 17:03:47,910.4,53.6
2020/09/14 17:03:48,847.0,51.5
2020/09/14 17:03:49,748.9,62.5
2020/09/14 17:03:50,665.9,77.4
2020/09/14 17:03:51,635.0,92.7
2020/09/14 17:03:52,607.6,104.9
2020/09/14 17:03:53,527.2,110.4
2020/09/14 17:03:54,523.6,110.7
2020/09/14 17:03:54,486.6,95.0
2020/09/14 17:03:55,443.0,53.0
2020/09/14 17:03:56,421.1,59.2
2020/09/14 17:03:57,374.6,49.3
2020/09/14 17:03:58,325.9,44.7
2020/09/14 17:03:59,420.2,77.7
2020/09/14 17:04:01,517.4,111.0
2020/09/14 17:04:02,991.5,222.0
2020/09/14 17:04:04,945.8,173.9
2020/09/14 17:04:13,434.3,312.5
2020/09/14 17:04:14,392.5,363.2
2020/09/14 17:04:14,878.4,247.6
2020/09/14 17:04:15,997.0,226.9
2020/09/14 17:04:15,997.8,225.2
2020/09/14 17:04:16,890.2,255.1
2020/09/14 17:04:17,452.4,344.5
2020/09/14 17:04:18,498.5,339.0
2020/09/14 17:04:19,539.1,337.2
2020/09/14 17:04:20,600.4,318.2
2020/09/14 17:04:21,647.7,304.0
2020/09/14 17:04:22,685.6,322.5
2020/09/14 17:04:22,703.4,328.4
2020/09/14 17:04:23,757.7,357.3
2020/09/14 17:04:25,787.7,357.5
2020/09/14 17:04:26,794.0,354.5
2020/09/14 17:04:27,747.3,334.2
2020/09/14 17:04:27,814.1,355.4
2020/09/14 17:04:28,826.1,351.0
2020/09/14 17:04:29,904.2,354.5
2020/09/14 17:04:30,991.7,341.8
2020/09/14 17:04:31,1069.7,348.6
2020/09/14 17:04:32,1098.8,334.3
2020/09/14 17:04:33,1154.0,293.7
2020/09/14 17:04:34,1161.4,268.6
2020/09/14 17:04:34,1162.1,195.1
2020/09/14 17:04:35,1155.7,139.9
2020/09/14 17:04:36,1151.5,151.8
2020/09/14 17:04:37,1152.7,148.0
2020/09/14 17:04:38,1107.6,112.2
2020/09/14 17:04:38,1043.7,60.8
2020/09/14 17:04:40,992.9,45.8
2020/09/14 17:04:41,897.2,51.6
2020/09/14 17:04:42,811.6,57.1
2020/09/14 17:04:42,717.5,80.3
2020/09/14 17:04:43,682.6,98.2
2020/09/14 17:04:44,677.3,92.1
2020/09/14 17:04:45,668.7,105.3
2020/09/14 17:04:46,656.0,103.2
2020/09/14 17:04:47,773.0,154.9
2020/09/14 17:04:49,623.0,95.0
2020/09/14 17:04:50,599.6,110.4
2020/09/14 17:04:51,601.1,75.4
2020/09/14 17:04:52,672.4,95.6
2020/09/14 17:04:54,845.6,160.2
2020/09/14 17:04:55,629.7,58.6
2020/09/14 17:04:56,655.2,62.9
2020/09/14 17:04:57,675.8,59.4
2020/09/14 17:04:57,691.5,31.7
2020/09/14 17:04:59,698.6,24.5
2020/09/14 17:05:00,932.9,183.0
2020/09/14 17:05:01,818.0,103.7
2020/09/14 17:05:02,876.0,143.8
2020/09/14 17:05:03,693.7,32.6
2020/09/14 17:05:03,699.8,20.1
2020/09/14 17:05:04,704.6,44.9
2020/09/14 17:05:05,714.9,53.3
2020/09/14 17:05:06,691.0,86.3
2020/09/14 17:05:07,667.9,58.2
2020/09/14 17:05:08,631.3,61.8
2020/09/14 17:05:09,613.7,80.3
2020/09/14 17:05:10,551.7,95.0
2020/09/14 17:05:11,511.1,107.9
2020/09/14 17:05:12,476.9,119.5
2020/09/14 17:05:13,481.2,106.4
2020/09/14 17:05:15,466.1,124.3
2020/09/14 17:05:16,447.3,144.8
2020/09/14 17:05:17,437.5,129.9
2020/09/14 17:05:18,408.1,145.3
2020/09/14 17:05:19,392.4,162.2
2020/09/14 17:05:19,387.1,139.2
2020/09/14 17:05:20,379.0,147.1
2020/09/14 17:05:21,381.0,173.4
2020/09/14 17:05:24,377.5,162.2
2020/09/14 17:05:25,349.6,133.0
2020/09/14 17:05:26,319.0,78.6
2020/09/14 17:05:27,309.9,63.7
2020/09/14 17:05:29,283.5,44.2
2020/09/14 17:05:30,260.3,54.7
2020/09/14 17:05:31,228.2,50.4
2020/09/14 17:05:33,192.1,47.2
2020/09/14 17:05:37,573.8,83.9
2020/09/14 17:05:42,901.2,123.8
2020/09/14 17:05:52,855.5,126.8
2020/09/14 17:05:54,351.5,374.1
2020/09/14 17:05:55,381.4,375.8
2020/09/14 17:05:56,435.7,367.6
2020/09/14 17:05:57,482.7,365.5
2020/09/14 17:05:58,518.1,367.9
2020/09/14 17:05:58,538.5,357.3
2020/09/14 17:05:59,562.1,346.7
2020/09/14 17:05:59,584.8,341.9
2020/09/14 17:06:01,675.0,325.9
2020/09/14 17:06:02,673.3,315.1
2020/09/14 17:06:03,608.6,347.7
2020/09/14 17:06:04,649.4,330.1
2020/09/14 17:06:05,714.0,329.0
2020/09/14 17:06:05,717.9,329.3
2020/09/14 17:06:06,769.9,344.3
2020/09/14 17:06:07,780.4,343.7
2020/09/14 17:06:08,795.3,347.3
2020/09/14 17:06:09,847.8,357.8
2020/09/14 17:06:10,887.3,356.8
2020/09/14 17:06:11,975.6,361.4
2020/09/14 17:06:12,1017.1,362.0
2020/09/14 17:06:12,1070.9,342.1
2020/09/14 17:06:13,1109.8,339.7
2020/09/14 17:06:14,1159.5,308.5
2020/09/14 17:06:14,1154.7,304.0
2020/09/14 17:06:15,1162.3,245.0
2020/09/14 17:06:16,1162.5,183.3
2020/09/14 17:06:17,1137.9,101.6
2020/09/14 17:06:18,1112.2,82.0
2020/09/14 17:06:20,1042.7,51.0
2020/09/14 17:06:20,924.9,55.9
2020/09/14 17:06:21,884.3,49.6
2020/09/14 17:06:22,800.5,55.2
2020/09/14 17:06:23,718.1,66.9
2020/09/14 17:06:24,645.5,79.6
2020/09/14 17:06:24,595.5,98.9
2020/09/14 17:06:25,578.3,136.2
2020/09/14 17:06:26,547.0,159.6
2020/09/14 17:06:27,519.0,163.4
2020/09/14 17:06:28,513.7,183.7
2020/09/14 17:06:29,497.9,164.3
2020/09/14 17:06:30,466.1,135.1
2020/09/14 17:06:30,435.5,105.4
2020/09/14 17:06:31,388.3,69.1
2020/09/14 17:06:32,323.2,47.5
2020/09/14 17:06:33,274.6,43.9
2020/09/14 17:06:33,245.7,48.0
2020/09/14 17:06:34,205.1,39.9
2020/09/14 17:06:42,279.9,373.4
2020/09/14 17:06:43,348.8,374.1
2020/09/14 17:06:44,410.8,367.3
2020/09/14 17:06:45,454.7,359.2
2020/09/14 17:06:45,505.0,354.7
2020/09/14 17:06:47,562.3,336.9
2020/09/14 17:06:48,596.7,311.8
2020/09/14 17:06:49,639.9,292.3
2020/09/14 17:06:49,680.0,288.9
2020/09/14 17:06:50,714.2,301.3
2020/09/14 17:06:51,763.9,310.1
2020/09/14 17:06:52,810.2,328.4
2020/09/14 17:06:53,828.7,330.6
